2940,2388
1548,503
794,3899
2062,1930
1481,1299
1140,3085
2054,2664
975,3790
994,3725
1992,4279
1288,2794
920,1183
2386,9
2224,976
1901,2765
700,1122
1541,2390
2936,4336
4725,4853
2011,3389
1618,187
4135,4924
3769,2727
3782,3966
2696,206
3801,2580
4816,4110
2327,4284
1491,4178
2217,4488
2340,3632
2050,875
4049,3830
4269,1537
340,994
3659,1420
4935,3972
4054,2141
1779,63
3586,2968
2285,4214
4175,2003
2432,1525
3678,2376
2470,4751
2446,1552
3829,2020
2184,2385
1447,695
1591,3807
1796,4891
540,2068
2634,3775
4106,2864
4685,2329
4048,282
1185,1879
4856,716
1381,3350
3741,646
1587,3776
1163,4978
3947,943
3528,3977
4238,4499
813,4572
850,3549
2939,3990
3391,3185
1476,2145
56,3202
211,330
4533,4166
946,4961
2436,4114
4862,3880
4379,604
4261,3281
3754,630
2812,4427
1981,4751
2916,4238
384,3815
4506,1227
2612,4998
759,4576
819,3408
2341,2315
1538,1234
1566,1757
2384,4963
2085,694
3394,1450
367,1563
4199,2473
2545,2022
1761,686
4119,12
2974,3119
3641,3483
3842,4099
4888,4262
3896,3025
612,3079
1035,4146
2330,4745
558,4075
1272,612
3948,269
3125,3223
1498,2400
3327,17
1424,335
586,3946
1400,2781
966,1677
3751,165
2045,3359
4433,2113
2603,669
2746,4937
1091,3312
1970,1667
4672,2428
1228,1825
2307,4711
3166,3759
1092,2630
208,3538
3432,4004
3545,1998
873,231
796,3885
4649,3395
2371,2113
4767,4288
3635,977
514,619
3038,437
1322,3547
79,4546
1608,3331
1489,36
2563,142
3044,3498
716,223
2187,1353
283,4734
4835,2216
2794,3946
4601,993
941,809
4220,3460
431,684
3070,3642
3313,971
4532,564
4174,1215
2662,136
969,727
642,1437
762,2388
26,1658
1467,2006
4977,234
1295,3356
905,2645
4008,3029
1932,934
3977,1306
3007,906
3819,4012
3558,2075
987,58
4882,2739
1934,4010
4435,2585
3648,147
3850,3756
1736,4444
1029,2012
2372,4183
4466,15
1597,220
177,1979
1562,4096
2973,2860
2940,1777
3459,1824
3106,2706
1343,3217
2333,1351
1538,178
971,4235
792,1800
4839,2101
2929,1555
2268,2872
3362,550
3352,4678
2934,2581
3626,3059
3610,1202
4895,1555
4506,1444
3690,2531
4488,390
2713,2189
340,4276
2260,3523
685,1728
4633,2185
2903,1253
894,3079
4345,796
2998,2517
1149,1025
2411,4113
2818,232
2254,859
1596,4680
3127,3823
4042,1269
1239,2023
4572,3239
760,203
1687,4736
3943,111
3682,728
1084,916
3453,2119
3569,1211
1621,985
1329,4328
1980,756
3483,1132
1031,4988
2766,380
1653,4020
1118,1443
3353,4606
108,3868
3102,943
1042,1775
1047,3610
946,1138
4155,1350
2374,3261
3530,3729
2590,572
2999,878
4041,3932
3672,1924
2162,128
3556,2055
1501,1480
142,1353
1983,2090
2669,3837
4017,1711
4296,2007
420,2549
132,3739
4525,914
2706,4963
2418,4765
1772,2223
1553,376
1852,3010
2220,1743
2540,2114
761,1512
4612,1346
4569,4999
1039,647
1660,430
1460,89
1680,1281
1688,827
3932,4658
3208,2404
3776,889
2058,1855
2600,4523
1908,3617
3380,11
1001,2275
2397,3834
283,1852
3177,933
3774,465
2169,3503
3212,4178
4935,603
1461,4443
2424,1221
957,4511
2854,3961
4253,819
1706,83
1302,4283
123,922
2540,2438
4508,1641
96,1811
912,4557
188,2532
3788,568
1096,4999
4940,4771
628,4856
3297,2305
4184,2578
1036,4993
3031,317
757,2177
3573,1815
92,56
56,918
2649,4760
880,2649
3040,4108
825,3357
2488,673
4109,1525
2226,2461
1360,478
1794,880
155,2545
4617,4855
2189,2144
4101,895
3309,864
3773,1138
4260,42
154,1856
1498,745
2563,3053
243,968
1606,1017
4607,1144
717,1545
186,2063
1621,3200
2704,503
1856,4149
2589,651
4409,4562
1311,4717
4975,4406
2912,484
1771,2004
597,3693
4851,4360
2333,3422
3509,4728
1369,4878
1252,3096
1776,3446
4848,1865
110,2500
413,3827
3061,4736
3122,3960
4279,1898
2216,4729
2100,3153
3640,3
3867,675
3,3747
3580,3236
2798,1282
478,1302
1922,3262
1758,685
2908,1126
1143,2359
2629,4200
1366,934
4367,2442
2473,3935
2851,383
1631,1689
3885,1410
2084,3075
2059,4020
2321,2203
437,546
3341,1211
1170,2434
4184,2325
585,947
3844,4478
3810,1986
3877,1196
4899,2432
1487,1651
1577,4967
495,1763
2263,559
2072,1914
3914,3815
1384,686
944,2159
2951,2147
425,744
4150,1104
660,4835
3482,3538
2942,1506
2175,2534
1073,3904
806,668
505,4211
4267,2909
2707,3362
4197,4415
2538,818
2816,1852
1268,482
4928,2583
4920,2047
2004,1444
2043,3718
1804,4197
2249,3915
3459,2870
2189,3497
2317,4674
3599,3298
189,987
3405,4556
149,3082
1538,4820
4881,1516
24,250
4508,890
3953,1861
414,2630
1899,3256
4703,3786
285,588
3211,4106
3562,1794
4003,2473
2347,2904
3009,1662
4770,153
328,4746
107,3368
4559,2985
360,481
2965,2850
3663,1924
325,3865
2509,2525
3798,2792
61,3018
901,1895
1735,4282
4768,3664
1137,645
877,4489
4528,4328
307,2468
1604,2519
2389,3627
1644,2570
2619,1666
3060,4482
2477,444
1698,1568
4579,2843
2220,668
2198,2125
4768,1243
218,1131
3869,1006
41,4226
4249,2271
3095,3594
1664,284
3142,1439
908,1637
1691,1432
195,2750
3920,278
1833,4900
3035,4069
4363,2725
733,1481
4737,3278
3045,4036
4161,3296
1555,4179
4016,969
4724,1429
3563,4805
2668,280
1231,884
1225,3954
3619,2315
3988,3396
2029,4289
4604,4224
1680,3477
4854,2768
4894,1514
3930,767
191,3845
3229,1524
577,3225
3673,696
2776,3976
4122,115
4457,2670
4484,2493
842,2508
1026,4937
3929,2082
1700,226
186,1674
1976,4314
3613,3034
2485,3904
1265,1660
2566,3819
4390,1550
2858,2876
4972,224
3335,493
4328,725
4254,1078
4383,330
880,4170
1464,4222
1528,2981
493,4627
4539,2269
367,4881
